,Current Trading Date,Previous  Trading Date,Current Day Adjusted CLose Price,Previous Day Adjusted Close Price,Percentage Price Change,Current Volume,Previous Volume,Distribution_Day,vol_diff
2770,2018-12-06,2018-12-05,10601,10782,-1.69,318500,312300,True,6200
2772,2018-12-10,2018-12-07,10488,10693,-1.92,381300,325800,True,55500
2781,2018-12-21,2018-12-20,10754,10951,-1.81,377500,318900,True,58600
2795,2019-01-11,2019-01-10,10794,10821,-0.25,260800,254400,True,6400
2796,2019-01-14,2019-01-11,10737,10794,-0.53,298800,260800,True,38000
2802,2019-01-22,2019-01-21,10922,10961,-0.36,300800,288800,True,12000
2805,2019-01-25,2019-01-24,10780,10849,-0.64,463400,361100,True,102300
2815,2019-02-08,2019-02-07,10943,11069,-1.14,352800,263500,True,89300
2817,2019-02-12,2019-02-11,10831,10888,-0.53,292300,286000,True,6300
2818,2019-02-14,2019-02-12,10746,10831,-0.79,627000,292300,True,334700
2826,2019-02-26,2019-02-25,10835,10880,-0.41,415000,385900,True,29100
2833,2019-03-08,2019-03-07,11035,11058,-0.21,326600,321200,True,5400
2842,2019-03-22,2019-03-20,11456,11521,-0.56,386200,366300,True,19900
2845,2019-03-27,2019-03-26,11445,11483,-0.33,350400,282600,True,67800
2854,2019-04-10,2019-04-09,11584,11671,-0.75,359900,300500,True,59400
2863,2019-04-25,2019-04-24,11641,11726,-0.72,604400,335200,True,269200
2869,2019-05-07,2019-05-06,11497,11598,-0.87,337500,299000,True,38500
2870,2019-05-08,2019-05-07,11359,11497,-1.2,372800,337500,True,35300
2871,2019-05-09,2019-05-08,11301,11359,-0.51,373000,372800,True,200
2875,2019-05-15,2019-05-14,11157,11222,-0.58,414200,398100,True,16100
2881,2019-05-23,2019-05-22,11657,11737,-0.69,569000,355900,True,213100
2890,2019-06-06,2019-06-04,11843,12021,-1.48,415200,289200,True,126000
2901,2019-06-21,2019-06-20,11724,11831,-0.91,468400,442000,True,26400
2911,2019-07-05,2019-07-04,11811,11946,-1.14,530700,333600,True,197100
2916,2019-07-12,2019-07-11,11552,11582,-0.26,359400,317300,True,42100
2920,2019-07-18,2019-07-17,11596,11687,-0.78,498300,464800,True,33500
2922,2019-07-22,2019-07-19,11346,11419,-0.64,516000,446000,True,70000
2934,2019-08-07,2019-08-06,10855,10948,-0.85,548500,517900,True,30600
2937,2019-08-13,2019-08-09,10925,11109,-1.65,624600,538100,True,86500
2941,2019-08-20,2019-08-19,11017,11053,-0.33,444700,369500,True,75200
2942,2019-08-21,2019-08-20,10918,11017,-0.89,557900,444700,True,113200
2943,2019-08-22,2019-08-21,10741,10918,-1.62,668200,557900,True,110300
2948,2019-08-29,2019-08-28,10948,11046,-0.89,649900,550000,True,99900
2959,2019-09-17,2019-09-16,10817,11003,-1.69,482000,434500,True,47500
2961,2019-09-19,2019-09-18,10704,10840,-1.25,642600,519200,True,123400
2968,2019-09-30,2019-09-27,11474,11512,-0.33,756800,650000,True,106800
2969,2019-10-01,2019-09-30,11359,11474,-1.0,1305400,756800,True,548600
2981,2019-10-22,2019-10-18,11588,11661,-0.63,867600,853400,True,14200
2994,2019-11-08,2019-11-07,11908,12012,-0.86,789300,563000,True,226300
2996,2019-11-13,2019-11-11,11840,11913,-0.61,659000,549000,True,110000
3005,2019-11-26,2019-11-25,12037,12073,-0.3,1201300,534300,True,667000
3008,2019-11-29,2019-11-28,12056,12151,-0.78,804400,620500,True,183900
3013,2019-12-06,2019-12-05,11921,12018,-0.81,609200,562200,True,47000
3015,2019-12-10,2019-12-09,11856,11937,-0.68,650200,599100,True,51100
3026,2019-12-26,2019-12-24,12126,12214,-0.72,520300,470300,True,50000
3029,2019-12-31,2019-12-30,12168,12255,-0.71,426900,411100,True,15800
3032,2020-01-03,2020-01-02,12226,12282,-0.45,428800,407700,True,21100
3045,2020-01-22,2020-01-21,12106,12169,-0.52,500,400,True,100
3049,2020-01-28,2020-01-27,12055,12119,-0.52,478500,441200,True,37300
3051,2020-01-30,2020-01-29,12035,12129,-0.77,538100,514400,True,23700
3052,2020-01-31,2020-01-30,11962,12035,-0.61,771300,538100,True,233200
3058,2020-02-10,2020-02-07,12031,12098,-0.55,524700,473500,True,51200
3061,2020-02-13,2020-02-12,12174,12201,-0.22,501200,411700,True,89500
3062,2020-02-14,2020-02-13,12113,12174,-0.5,622800,501200,True,121600
3064,2020-02-18,2020-02-17,11992,12045,-0.44,676900,0,True,676900
3069,2020-02-26,2020-02-25,11678,11797,-1.01,567600,461000,True,106600
3070,2020-02-27,2020-02-26,11633,11678,-0.39,608600,567600,True,41000
3071,2020-02-28,2020-02-27,11201,11633,-3.71,809900,608600,True,201300
3074,2020-03-04,2020-03-03,11251,11303,-0.46,797700,696500,True,101200
3076,2020-03-06,2020-03-05,10989,11269,-2.48,1811000,1352500,True,458500
3079,2020-03-12,2020-03-11,9590,10458,-8.3,1343500,1218500,True,125000
3082,2020-03-17,2020-03-16,8967,9197,-2.5,935600,897700,True,37900
3083,2020-03-18,2020-03-17,8468,8967,-5.56,1516600,935600,True,581000
3094,2020-04-03,2020-04-01,8083,8253,-2.06,697000,506300,True,190700
3096,2020-04-08,2020-04-07,8748,8792,-0.49,896500,814200,True,82300
3099,2020-04-15,2020-04-13,8925,8993,-0.76,879100,644000,True,235100
3112,2020-05-05,2020-05-04,9205,9293,-0.95,725200,687500,True,37700
3117,2020-05-12,2020-05-11,9196,9239,-0.46,805500,704600,True,100900
3121,2020-05-18,2020-05-15,8823,9136,-3.43,773000,575900,True,197100
3125,2020-05-22,2020-05-21,9039,9106,-0.74,675800,631500,True,44300
3138,2020-06-11,2020-06-10,9902,10116,-2.12,715500,632400,True,83100
3147,2020-06-24,2020-06-23,10305,10471,-1.58,854800,669200,True,185600
3157,2020-07-08,2020-07-07,10705,10799,-0.87,767900,636800,True,131100
3173,2020-07-30,2020-07-29,11102,11202,-0.9,677800,600700,True,77100
3175,2020-08-03,2020-07-31,10891,11073,-1.64,680900,642600,True,38300
3184,2020-08-14,2020-08-13,11178,11300,-1.08,645100,562400,True,82700
3188,2020-08-20,2020-08-19,11312,11408,-0.84,791600,626200,True,165400
